Date,Close,High,Low,Open,Volume,Sentiment
2021-10-08,17895.19921875,17941.849609375,17840.349609375,17886.849609375,324100,1
2021-10-11,17945.94921875,18041.94921875,17839.099609375,17867.55078125,375800,1
2021-10-12,17991.94921875,18008.650390625,17864.94921875,17915.80078125,355600,-1
2021-10-13,18161.75,18197.80078125,18050.75,18097.849609375,506700,-1
2021-10-14,18338.55078125,18350.75,18248.69921875,18272.849609375,538700,-1
2021-10-18,18477.05078125,18543.150390625,18445.30078125,18500.099609375,469900,-1
2021-10-19,18418.75,18604.44921875,18377.69921875,18602.349609375,368200,-1
2021-10-20,18266.599609375,18458.30078125,18209.349609375,18439.900390625,371300,1
2021-10-21,18178.099609375,18384.19921875,18048.0,18382.69921875,365900,-1
2021-10-22,18114.900390625,18314.25,18034.349609375,18230.69921875,324700,-1
2021-10-25,18125.400390625,18241.400390625,17968.5,18229.5,418700,1
2021-10-26,18268.400390625,18310.44921875,18099.30078125,18154.5,341400,-1
2021-10-27,18210.94921875,18342.05078125,18167.900390625,18295.849609375,335200,-1
2021-10-28,17857.25,18190.69921875,17799.44921875,18187.650390625,374200,-1
2021-10-29,17671.650390625,17915.849609375,17613.099609375,17833.05078125,336500,-1
2021-11-01,17929.650390625,17954.099609375,17697.099609375,17783.150390625,281200,-1
2021-11-02,17888.94921875,18012.25,17847.599609375,17970.900390625,296400,1
2021-11-03,17829.19921875,17988.75,17757.94921875,17947.94921875,331000,1
2021-11-04,17916.80078125,17947.55078125,17900.599609375,17935.05078125,48500,-1
2021-11-08,18068.55078125,18087.80078125,17836.099609375,18040.19921875,338900,1
2021-11-09,18044.25,18112.599609375,17983.05078125,18084.349609375,270200,1
2021-11-10,18017.19921875,18061.25,17915.0,17973.44921875,261400,-1
2021-11-11,17873.599609375,17971.349609375,17798.19921875,17967.44921875,232100,1
2021-11-12,18102.75,18123.0,17905.900390625,17977.599609375,249100,-1
2021-11-15,18109.44921875,18210.150390625,18071.30078125,18140.94921875,280400,-1
2021-11-16,17999.19921875,18132.650390625,17958.80078125,18127.05078125,267400,-1
2021-11-17,17898.650390625,18022.650390625,17879.25,17939.349609375,295700,-1
2021-11-18,17764.80078125,17945.599609375,17688.5,17890.55078125,278400,-1
2021-11-22,17416.55078125,17805.25,17280.44921875,17796.25,356400,-1
2021-11-23,17503.349609375,17553.69921875,17216.099609375,17281.75,308800,-1
2021-11-24,17415.05078125,17600.599609375,17354.0,17550.05078125,298100,-1
2021-11-25,17536.25,17564.349609375,17351.69921875,17417.30078125,255900,-1
2021-11-26,17026.44921875,17355.400390625,16985.69921875,17338.75,356300,-1
2021-11-29,17053.94921875,17160.69921875,16782.400390625,17055.80078125,348900,-1
2021-11-30,16983.19921875,17324.650390625,16931.400390625,17051.150390625,498000,-1
2021-12-01,17166.900390625,17213.05078125,17064.25,17104.400390625,295500,1
2021-12-02,17401.650390625,17420.349609375,17149.30078125,17183.19921875,279900,1
2021-12-03,17196.69921875,17489.80078125,17180.80078125,17424.900390625,292500,1
2021-12-06,16912.25,17216.75,16891.69921875,17209.05078125,231700,-1
2021-12-07,17176.69921875,17251.650390625,16987.75,17044.099609375,254100,-1
2021-12-08,17469.75,17484.599609375,17308.94921875,17315.25,257800,-1
2021-12-09,17516.849609375,17543.25,17379.599609375,17524.400390625,237200,-1
2021-12-10,17511.30078125,17534.349609375,17405.25,17476.05078125,204500,1
2021-12-13,17368.25,17639.5,17355.94921875,17619.099609375,256600,-1
2021-12-14,17324.900390625,17376.19921875,17225.80078125,17283.19921875,271000,-1
2021-12-15,17221.400390625,17351.19921875,17192.19921875,17323.650390625,215000,-1
2021-12-16,17248.400390625,17379.349609375,17184.94921875,17373.0,219500,-1
2021-12-17,16985.19921875,17298.150390625,16966.44921875,17276.0,354600,1
2021-12-20,16614.19921875,16840.099609375,16410.19921875,16824.25,330600,1
2021-12-21,16770.849609375,16936.400390625,16688.25,16773.150390625,241000,-1
2021-12-22,16955.44921875,16971.0,16819.5,16865.55078125,207900,-1
2021-12-23,17072.599609375,17118.650390625,17015.55078125,17066.80078125,197000,1
2021-12-24,17003.75,17155.599609375,16909.599609375,17149.5,182600,-1
2021-12-27,17086.25,17112.05078125,16833.19921875,16937.75,144800,1
2021-12-28,17233.25,17250.25,17161.150390625,17177.599609375,176000,-1
2021-12-29,17213.599609375,17285.94921875,17176.650390625,17220.099609375,161700,1
2021-12-30,17203.94921875,17264.05078125,17146.349609375,17201.44921875,320800,1
2021-12-31,17354.05078125,17400.80078125,17238.5,17244.5,167000,1
2022-01-03,17625.69921875,17646.650390625,17383.30078125,17387.150390625,200500,1
2022-01-04,17805.25,17827.599609375,17593.55078125,17681.400390625,247400,1
